application_id,lp_id,subid,country_code,conversion_IP,adv_payout_usd
23924,1499915,00a1de7d-fb59-4efd-8b58-208a8036bcdb,DE,37.201.199.0,20.86
23924,1499915,00a7dbc2-2531-46c5-8366-008adcb5f272,US,142.255.65.63,32.23
3173,1546145,01220730-5686-45d7-9037-508a3bea3571,US,137.119.100.25,20.86
3173,1541841,015b1769-7ac3-43c0-ba87-b08afbc3db6d,US,50.254.13.50,20.99
3173,1544293,019a5166-066b-485e-8ee2-708afe6e2295,US,209.152.125.194,59.08
3173,1530067,01b5bdc3-9250-4d7e-b869-708a16e27af5,US,47.200.33.122,59.08
40647,1499915,01f0695c-1ad9-42a5-976f-308aa55d9c26,GR,78.29.164.0,59.08
3173,1541841,02c3cbb7-11ee-4f65-abd8-208af005fdbe,US,162.255.120.91,86.05
3173,1530067,032cf1c7-b816-40a9-a150-008af69836e9,US,74.141.115.248,60.88
23924,1499915,038c1dda-7a10-4e87-a132-408a595a340f,GR,109.52.141.0,59.08
3173,1530067,04e61ad3-ec22-4a9f-913f-508a9a149a0c,US,71.66.163.94,59.08
3173,1544907,0590d282-3014-4187-ac35-b08a34f1e57e,US,96.3.21.62,80.73
3173,1499915,0620256e-713a-4d93-966d-d08a4803755a,US,66.129.197.65,20.86
3173,1546145,07251ce3-acf5-4d7c-8537-808a7e2bffe3,US,184.159.130.204,59.08
3173,1541763,072be42a-cea4-4c0d-b2a7-608a6d82899e,US,68.107.170.215,59.08
3173,1544907,0739c654-af51-4400-a4b1-808a2eb85f7a,US,184.94.166.35,69.88
3173,1499915,07b5b982-18f3-4eea-8ebd-608a5ae92223,GR,31.152.145.0,69.88
23924,1499915,084fc2ac-5acc-41c6-aac7-708a2933b830,DE,80.89.77.0,59.08
3173,1530067,08e347e8-c953-4c91-bd3d-b08a8bdb69eb,US,96.3.21.62,32.84
3173,1539647,08e777ca-6b9c-4e56-beea-308a843a1af8,US,162.255.121.91,20.86
23924,1499915,0956f777-dac0-4e6b-ba0e-808a43101cbd,US,162.255.120.91,69.88
3173,1546145,0a538bd0-2a03-45c6-9a66-508ad65c5f29,US,69.75.152.178,20.86
3173,1544907,0aa0998b-2d53-4ee5-b2e6-408a29c4e3e6,US,104.171.39.34,34.08
3173,1541763,0b3ae800-2ba7-463c-ac93-a08a86e0ab43,US,172.87.3.226,60.88
3173,1544293,0ca87a6e-7346-4502-9fa9-308a8d5b2aa0,US,24.101.89.8,86.05
3173,1530067,0e2ff71e-c5ad-4eaa-9eda-108a50a9217c,AT,96.40.160.94,32.84
3173,1539647,0fcada86-7ba3-449b-92b5-b08a7a6eab9a,US,96.3.21.62,69.88
3173,1541763,107efa2a-8321-4710-89b4-808acf416ed8,US,184.94.166.35,54.8
3173,1546145,10fbfe33-b3ed-4105-9880-208a527e7be2,US,70.171.7.249,54.8
23924,1499915,1244dffe-81c4-4b6d-89d8-708aae1e9fb7,DE,95.90.219.0,60.88
3173,1544907,125f4deb-8631-4574-993f-c08a0c5ee744,US,142.255.65.63,32.23
3173,1541841,13a9e006-1e29-4ad8-abbb-908a0c483d3b,US,206.130.95.245,59.08
3173,1499915,14b26998-92d6-40fb-9379-308a6928eec1,US,68.169.248.136,80.73
3173,1539647,15d5268d-2d0b-4c7a-9ecd-b08aa85a1272,US,199.188.59.208,80.73
123339,1499915,15f5e011-9a5c-4a44-88ec-408a24e112fc,DE,79.230.125.139,20.86
3173,1544293,15fc6b87-62bd-4992-9e85-108a5025ff90,US,74.93.254.145,34.08
3173,1539647,169b9e23-3634-4c79-b154-908a10051ca7,US,170.249.140.70,20.99
3173,1499915,17f624e7-78af-4475-9f5f-d08a29ae7865,US,65.74.6.101,32.84
3173,1544301,186ad623-33b3-4deb-985c-508a8ad18e74,US,50.196.207.49,20.99
3173,1530067,187a54db-61be-456e-bcd2-d08af43fe83e,US,207.243.91.74,59.08
3173,1539647,18b98c26-84b2-4b87-98a6-008a8bc74cf7,US,70.171.3.81,54.8
23924,1499915,18bec343-75fb-4899-9a88-508a29b4d751,ES,88.126.190.0,54.8
3173,1541763,18cdb5b7-04ce-4060-b066-908a0181f6eb,US,159.242.40.113,20.86
3173,1506623,1946759e-93c8-438d-a51a-708ae1c9d0b5,US,209.152.125.194,59.08
3173,1544301,19d3c7c4-78a7-4e6b-a48c-208a21dee07d,US,162.255.120.84,20.86
39217,1499915,19f29b54-468e-4b0a-8dbd-108ad97d713d,ES,148.71.227.20,59.08
3173,1544907,1a11e9d7-16fe-4776-ac0b-d08a44642bd3,US,72.196.93.194,59.08
3173,1544907,1b6e815a-762b-4681-ba1c-508a69a54156,US,184.94.174.129,60.88
23924,1499915,1cd34ccb-07d4-4265-9567-d08a651b0390,AT,178.115.68.0,80.73
3173,1544293,1de6ab6c-569b-4e8d-a17e-d08afb01bdee,US,67.171.210.1,59.08
3173,1499915,1e83b7f2-7409-435c-ba33-c08a477a67ad,DE,37.4.230.0,20.86
3173,1499915,1fbf5799-dee4-4bd7-b8da-c08afa986010,ES,176.200.139.98,60.88
3173,1546145,202302a9-9991-4600-9ba5-008a427b1ade,US,23.24.76.237,32.23
3173,1499915,20f3b172-80a0-4905-9e98-408adaf18785,US,192.208.31.203,54.8
3173,1541763,2196aa6f-4927-4a6a-b42f-508a9f6b0521,US,47.35.70.220,20.86
3173,1539647,21a9aec9-f379-41fd-babd-808a2925961b,US,67.61.171.62,54.8
3173,1544293,229afb20-cbe2-4f94-9140-708ac5dcad5d,US,64.233.138.27,54.8
3173,1539647,2317f29e-55e8-437d-849b-308a29b27e0d,US,68.229.137.96,59.08
3173,1541841,2318fba1-3f52-43cf-b66b-d08a5f89172f,US,97.70.173.148,59.08
23924,1499915,23278867-a2f1-48e1-8338-808a85f1478f,US,68.169.240.234,59.08
23924,1499915,249d484b-b011-437e-b6b7-708aea309b10,ES,176.102.79.0,60.88
3173,1539647,265197b4-b0d2-49db-ab15-108ae8e56a17,US,96.40.160.94,60.88
3173,1544907,2660e61f-7c34-40df-95b9-808a5a9099a9,US,184.159.130.204,59.08
23924,1499915,26c61c2b-4aff-422b-b146-a08ac213ed96,ES,5.168.13.0,34.08
123554,1499915,26ea9552-3915-436a-b27e-908ab7b2e0e6,AT,62.240.134.185,60.88
3173,1544301,278198b9-21a2-4a4e-aa0f-908a258aca3d,US,104.183.137.49,34.08
3173,1544301,2c03dfe8-e34a-4095-9703-c08acfd9f7d5,US,66.223.191.201,54.8
3173,1541763,2cb36dbf-c8e4-4957-908b-408ae67019a8,US,24.180.103.19,20.99
3173,1530067,2cbd2fb0-84b4-4e69-8be3-908a6f4b63e6,US,170.249.26.176,20.86
3173,1539647,2e9db881-3cfa-4526-abc3-208a42731f17,US,206.174.31.57,59.08
3173,1499915,2f11ab75-2354-49a8-aa15-a08a2f474e84,US,206.174.34.61,59.08
3173,1539647,2f85a301-bd81-4d76-b8f8-308a3ca2e8e9,US,162.255.121.103,59.08
3173,1530067,303223b1-ce05-4cf9-92a6-108ae0af5eec,US,74.93.254.145,59.08
3173,1506623,312274fd-d4eb-40fe-927c-508a577dfe03,US,71.66.163.94,59.08
3173,1539647,316aa866-5a07-4465-87fe-c08a08327bdc,US,162.255.120.84,20.99
23924,1499915,320d5d9f-da05-4f73-9ac8-608aff065855,US,174.64.2.131,54.8
